,DB00006,DB00007,DB00014,DB00027,DB00035,DB00050,DB00067,DB00080,DB00091,DB00093,DB00104,DB00106,DB00114,DB00115,DB00116,DB00117,DB00118,DB00119,DB00120,DB00121,DB00122,DB00123,DB00125,DB00126,DB00127,DB00128,DB00129,DB00130,DB00131,DB00132,DB00133,DB00134,DB00135,DB00136,DB00137,DB00138,DB00139,DB00140,DB00141,DB00142,DB00143,DB00144,DB00145,DB00146,DB00147,DB00148,DB00149,DB00150,DB00151,DB00152,DB00153,DB00154,DB00155,DB00156,DB00157,DB00158,DB00159,DB00160,DB00161,DB00162,DB00163,DB00165,DB00166,DB00167,DB00168,DB00169,DB00170,DB00171,DB00172,DB00173,DB00174,DB00175,DB00176,DB00177,DB00178,DB00179,DB00180,DB00181,DB00182,DB00183,DB00184,DB00185,DB00186,DB00187,DB00188,DB00189,DB00190,DB00191,DB00192,DB00193,DB00194,DB00195,DB00196,DB00197,DB00198,DB00199,DB00200,DB00201,DB00202,DB00203
DB00006,0.0,0.6413502109704642,0.608,0.5240174672489083,0.8304093567251462,0.6196581196581197,0.8135593220338984,0.5617021276595745,0.4619883040935672,0.6374269005847953,0.5043478260869565,0.6068376068376068,0.4304347826086956,0.4864864864864865,0.5283842794759825,0.3649289099526066,0.3109243697478991,0.119047619047619,0.5333333333333333,0.36,0.125,0.2606060606060606,0.3393939393939394,0.1857923497267759,0.1515151515151515,0.2349397590361445,0.2545454545454545,0.2848484848484848,0.270042194092827,0.2787878787878788,0.1812865497076023,0.2023121387283237,0.6424242424242425,0.2841530054644808,0.2914285714285714,0.1988304093567251,0.144578313253012,0.4586776859504132,0.3351955307262569,0.2590361445783132,0.3567251461988304,0.281767955801105,0.1515151515151515,0.2793296089385474,0.4355555555555555,0.2424242424242424,0.2606060606060606,0.4700460829493088,0.1812865497076023,0.2845188284518828,0.2768361581920904,0.2787878787878788,0.3212121212121212,0.2093023255813953,0.3428571428571428,0.4959349593495935,0.2363636363636363,0.1939393939393939,0.2303030303030303,0.2383720930232558,0.3865979381443299,0.4193548387096774,0.1988304093567251,0.2606060606060606,0.6547619047619048,0.2711864406779661,0.375,0.2731092436974789,0.3090909090909091,0.1818181818181818,0.2666666666666666,0.3461538461538461,0.3989071038251366,0.5492227979274611,0.6457142857142857,0.4943181818181818,0.2924528301886792,0.4887640449438202,0.4,0.5263157894736842,0.3512195121951219,0.2054054054054054,0.411214953271028,0.5956284153005464,0.4719626168224299,0.1485714285714285,0.5792349726775956,0.3712574850299401,0.5142857142857142,0.5136612021857924,0.277056277056277,0.5351351351351351,0.5128205128205128,0.5336538461538461,0.4525139664804469,0.3212435233160621,0.4849624060150376,0.2355555555555555,0.1988304093567251,0.4703703703703704
DB00007,0.6413502109704642,0.0,0.9451476793248944,0.7586206896551724,0.603448275862069,0.7661290322580645,0.5966386554621849,0.7108433734939759,0.3733333333333333,0.4612068965517241,0.7307692307692307,0.74,0.552,0.6754716981132075,0.623015873015873,0.508695652173913,0.4606299212598425,0.0739130434782608,0.3744493392070485,0.2584745762711864,0.1071428571428571,0.1762114537444934,0.222707423580786,0.140495867768595,0.1116071428571428,0.1428571428571428,0.1666666666666666,0.1834061135371179,0.4285714285714285,0.1894273127753304,0.1447368421052631,0.1361702127659574,0.4537444933920704,0.240506329113924,0.2445414847161572,0.1330472103004291,0.0826086956521739,0.6349206349206349,0.2521008403361344,0.1652173913043478,0.2330508474576271,0.2175732217573222,0.0969162995594713,0.2360515021459227,0.5655737704918032,0.1629955947136563,0.1762114537444934,0.6434782608695652,0.1201716738197424,0.4581673306772908,0.2337662337662337,0.1894273127753304,0.2096069868995633,0.1659388646288209,0.5038759689922481,0.6745098039215687,0.158590308370044,0.1277533039647577,0.1541850220264317,0.198237885462555,0.3067729083665338,0.5485232067510548,0.1330472103004291,0.1762114537444934,0.4463519313304721,0.2294372294372294,0.2808510638297872,0.4308300395256917,0.2061403508771929,0.375,0.1601731601731601,0.2773109243697479,0.351931330472103,0.4916666666666666,0.4641350210970464,0.3819742489270386,0.247191011235955,0.3556485355648535,0.2946428571428571,0.6748971193415638,0.4867256637168141,0.1652892561983471,0.473469387755102,0.4504132231404958,0.5847457627118644,0.1111111111111111,0.4204081632653061,0.28,0.396551724137931,0.405857740585774,0.4390243902439024,0.4232365145228215,0.5,0.4318181818181818,0.3181818181818182,0.250996015936255,0.6691176470588235,0.3983402489626556,0.1330472103004291,0.6285714285714286
DB00014,0.608,0.9451476793248944,0.0,0.7183673469387755,0.5714285714285714,0.7279693486590039,0.5657370517928287,0.694980694980695,0.3529411764705882,0.436734693877551,0.6923076923076923,0.7034220532319392,0.5247148288973384,0.6557971014492754,0.5924528301886792,0.4814814814814814,0.4490566037735849,0.0699588477366255,0.3541666666666667,0.2449799196787148,0.1012658227848101,0.1666666666666666,0.2107438016528925,0.1422924901185771,0.1054852320675105,0.1352459016393442,0.1576763485477178,0.1735537190082644,0.4182509505703422,0.1791666666666666,0.1369294605809128,0.1290322580645161,0.4291666666666666,0.2329317269076305,0.2314049586776859,0.1260162601626016,0.0781893004115226,0.6037735849056604,0.2390438247011952,0.1563786008230452,0.2208835341365461,0.216,0.0916666666666666,0.2285714285714285,0.5369649805447471,0.1541666666666666,0.1666666666666666,0.6090534979423868,0.1138211382113821,0.4356060606060606,0.221311475409836,0.1791666666666666,0.1983471074380165,0.1570247933884297,0.4907063197026022,0.6417910447761194,0.15,0.1208333333333333,0.1458333333333333,0.1875,0.3065134099616858,0.52,0.1260162601626016,0.1666666666666666,0.4344262295081967,0.2172131147540983,0.2661290322580645,0.4204545454545454,0.1950207468879668,0.3551020408163265,0.151639344262295,0.2730923694779116,0.3387755102040816,0.4959677419354839,0.4574898785425101,0.3617886178861789,0.2490974729241877,0.3373015873015873,0.2784810126582278,0.6535433070866141,0.4602510460251046,0.1752988047808765,0.4496124031007752,0.4387351778656126,0.5542168674698795,0.1097560975609756,0.4325396825396825,0.2647058823529412,0.3755102040816326,0.396,0.4280155642023346,0.4126984126984127,0.4979591836734693,0.4270072992700729,0.3174603174603174,0.2528735632183908,0.6501766784452296,0.3779527559055118,0.139917695473251,0.6228373702422145
DB00027,0.5240174672489083,0.7586206896551724,0.7183673469387755,0.0,0.4690265486725664,0.6722689075630253,0.5246636771300448,0.7545454545454545,0.4010416666666667,0.5255102040816326,0.8434343434343434,0.6808510638297872,0.5,0.6224899598393574,0.5702127659574469,0.4413145539906103,0.3907563025210084,0.078125,0.4166666666666667,0.2536585365853658,0.1243243243243243,0.1884816753926701,0.2060301507537688,0.1291866028708134,0.1297297297297297,0.1546391752577319,0.1832460732984293,0.190721649484536,0.3559322033898305,0.1979166666666666,0.1570680628272251,0.1522842639593908,0.3809523809523809,0.233009708737864,0.2373737373737373,0.1546391752577319,0.0885416666666666,0.569620253164557,0.2585365853658536,0.1692307692307692,0.2487562189054726,0.2125603864734299,0.1176470588235294,0.24,0.5132743362831859,0.1487179487179487,0.1947368421052631,0.7333333333333333,0.1391752577319587,0.4051724137931034,0.2436548223350254,0.1979166666666666,0.2153846153846154,0.1701030927835051,0.4380165289256198,0.6192468619246861,0.1736842105263158,0.1489361702127659,0.1746031746031746,0.2210526315789473,0.2467532467532467,0.5069124423963134,0.1313131313131313,0.1947368421052631,0.485,0.2385786802030456,0.3316326530612244,0.3586497890295358,0.2303664921465968,0.3222748815165877,0.1692307692307692,0.2571428571428571,0.3959390862944162,0.5362318840579711,0.5123152709359606,0.3055555555555556,0.2468085106382978,0.3853658536585366,0.358695652173913,0.7559808612440191,0.574468085106383,0.1804878048780487,0.5658536585365853,0.3946188340807174,0.67,0.1111111111111111,0.3508771929824561,0.3405405405405405,0.4791666666666667,0.3393665158371041,0.3652173913043478,0.3648648648648648,0.4080717488789238,0.3739837398373983,0.3222748815165877,0.2398190045248869,0.6299212598425197,0.3438914027149321,0.1487179487179487,0.4910394265232975
DB00035,0.8304093567251462,0.603448275862069,0.5714285714285714,0.4690265486725664,0.0,0.6088888888888889,0.8881987577639752,0.5021459227467812,0.4654088050314465,0.777027027027027,0.5373831775700935,0.5955555555555555,0.4117647058823529,0.4431372549019607,0.5136363636363637,0.3482587064676617,0.3053097345132743,0.1032258064516129,0.5526315789473685,0.3987341772151899,0.1168831168831168,0.2565789473684211,0.3246753246753247,0.1834319526627219,0.1689189189189189,0.2129032258064516,0.2418300653594771,0.2662337662337662,0.2456140350877192,0.2763157894736842,0.170886075949367,0.2243589743589743,0.6710526315789473,0.2976190476190476,0.30625,0.2368421052631578,0.130718954248366,0.4420600858369098,0.2982456140350877,0.2387096774193548,0.3694267515923566,0.272189349112426,0.1381578947368421,0.2926829268292683,0.4166666666666667,0.2207792207792207,0.2402597402597402,0.4660194174757281,0.2091503267973856,0.3181818181818182,0.2901234567901234,0.2763157894736842,0.3051948051948052,0.19375,0.3109243697478991,0.4747899159663865,0.2302631578947368,0.1764705882352941,0.2077922077922078,0.2564102564102564,0.4078212290502793,0.4057971014492754,0.2450331125827814,0.2402597402597402,0.63125,0.2839506172839506,0.40625,0.2489082969432314,0.2922077922077922,0.1970443349753694,0.2467532467532467,0.3333333333333333,0.4226190476190476,0.532608695652174,0.6130952380952381,0.5279503105590062,0.2786069651741293,0.4939759036144578,0.436241610738255,0.5467289719626168,0.3756613756613756,0.2261904761904762,0.4321608040201005,0.5895953757225434,0.4974874371859296,0.1572327044025157,0.5813953488372093,0.4039735099337748,0.559748427672956,0.5384615384615384,0.2522522522522522,0.5433526011560693,0.5108695652173914,0.6063829787234043,0.4127906976744186,0.2795698924731182,0.4318181818181818,0.2488038277511961,0.1677018633540372,0.4960629921259842
DB00050,0.6196581196581197,0.7661290322580645,0.7279693486590039,0.6722689075630253,0.6088888888888889,0.0,0.6017316017316018,0.6507936507936508,0.3906976744186046,0.4622222222222222,0.7025862068965517,0.9495412844036696,0.5619834710743802,0.572463768115942,0.5525291828793775,0.4100418410041841,0.3778625954198473,0.0772727272727272,0.391705069124424,0.2532751091703056,0.1121495327102803,0.184331797235023,0.2328767123287671,0.146551724137931,0.1116279069767441,0.1493212669683258,0.1743119266055046,0.1809954751131221,0.3461538461538461,0.1981566820276497,0.1513761467889908,0.1422222222222222,0.4746543778801843,0.2566371681415929,0.2557077625570776,0.1390134529147982,0.0863636363636363,0.5521235521235521,0.2631578947368421,0.1621621621621621,0.2324561403508772,0.2270742358078602,0.1013824884792626,0.2522522522522522,0.576271186440678,0.1705069124423963,0.184331797235023,0.6,0.1255605381165919,0.4126984126984127,0.25,0.1981566820276497,0.2191780821917808,0.1735159817351598,0.4104477611940298,0.5735849056603773,0.1658986175115207,0.1336405529953917,0.1612903225806451,0.2073732718894009,0.3531914893617021,0.5657894736842105,0.1390134529147982,0.184331797235023,0.4598214285714285,0.2454545454545454,0.3049327354260089,0.3486590038314176,0.2155963302752293,0.2821576763485477,0.1569506726457399,0.2894736842105263,0.3738738738738739,0.5263157894736842,0.4780701754385965,0.3991031390134529,0.2716535433070866,0.4337899543378995,0.308411214953271,0.6204081632653061,0.5162790697674419,0.1826086956521739,0.5194805194805194,0.4698275862068966,0.5757575757575758,0.1312217194570135,0.4382978723404255,0.2930232558139535,0.4272727272727272,0.4298245614035088,0.3543307086614173,0.4415584415584415,0.4453781512605042,0.4898785425101215,0.3261802575107296,0.2666666666666666,0.568904593639576,0.3238866396761133,0.1390134529147982,0.5432525951557093
DB00067,0.8135593220338984,0.5966386554621849,0.5657370517928287,0.5246636771300448,0.8881987577639752,0.6017316017316018,0.0,0.5042016806722689,0.4431137724550898,0.7371794871794872,0.5529953917050692,0.6238938053097345,0.4035087719298245,0.4351145038167939,0.4826086956521739,0.3160377358490566,0.2948717948717949,0.0981595092024539,0.525,0.3795180722891566,0.1111111111111111,0.24375,0.2694610778443114,0.1751412429378531,0.1602564102564102,0.2024539877300613,0.2298136645962732,0.2530864197530864,0.2372881355932203,0.2625,0.1626506024096385,0.2134146341463414,0.6375,0.2840909090909091,0.2916666666666667,0.225,0.124223602484472,0.4156378600823045,0.2849162011173184,0.2269938650306748,0.3515151515151515,0.2598870056497175,0.13125,0.2790697674418604,0.4080717488789238,0.1736526946107784,0.228395061728395,0.4553990610328638,0.1987577639751552,0.2956521739130435,0.2764705882352941,0.2625,0.274390243902439,0.1845238095238095,0.3008130081300813,0.4534412955465587,0.21875,0.1677018633540372,0.1975308641975308,0.2439024390243902,0.3903743315508021,0.397196261682243,0.2327044025157232,0.228395061728395,0.6011904761904762,0.2705882352941176,0.3869047619047619,0.240506329113924,0.2777777777777778,0.1728971962616822,0.2345679012345679,0.3184357541899441,0.4034090909090909,0.518324607329843,0.5942857142857143,0.5029585798816568,0.2801932367149758,0.4712643678160919,0.4140127388535032,0.5409090909090909,0.3673469387755102,0.2159090909090909,0.4223300970873786,0.56353591160221,0.4854368932038835,0.1497005988023952,0.5555555555555556,0.3836477987421384,0.5329341317365269,0.5141242937853108,0.2434782608695652,0.5193370165745856,0.5052631578947369,0.5897435897435898,0.3944444444444444,0.268041237113402,0.4349442379182156,0.228310502283105,0.1597633136094674,0.4752851711026616
DB00080,0.5617021276595745,0.7108433734939759,0.694980694980695,0.7545454545454545,0.5021459227467812,0.6507936507936508,0.5042016806722689,0.0,0.4137931034482758,0.5167464114832536,0.8066037735849056,0.6857142857142857,0.5708154506437768,0.6168582375478927,0.6538461538461539,0.4772727272727273,0.4186991869918699,0.1029411764705882,0.4356435643564356,0.2672811059907834,0.1133004926108374,0.2128712871287128,0.2344497607655502,0.1759259259259259,0.1237623762376237,0.1921182266009852,0.2079207920792079,0.2326732673267326,0.3795918367346939,0.2277227722772277,0.1773399014778325,0.1666666666666666,0.4063926940639269,0.2592592592592592,0.2523809523809524,0.1634615384615384,0.1182266009852216,0.5918367346938775,0.3142857142857143,0.2118226600985221,0.2932692307692308,0.2748815165876777,0.1237623762376237,0.2666666666666666,0.5859030837004405,0.1523809523809524,0.2128712871287128,0.7623762376237624,0.1490384615384615,0.3983739837398374,0.2583732057416268,0.2277227722772277,0.2439024390243902,0.2068965517241379,0.464,0.694560669456067,0.193069306930693,0.1584158415841584,0.1881188118811881,0.2019230769230769,0.275,0.5265486725663717,0.1634615384615384,0.2128712871287128,0.5594059405940595,0.2535885167464115,0.3609756097560975,0.3821138211382114,0.2524752475247525,0.296943231441048,0.2178217821782178,0.330188679245283,0.3952380952380952,0.5272727272727272,0.5625,0.3215859030837004,0.3122362869198312,0.4178403755868544,0.3267326732673267,0.8075117370892019,0.5317073170731708,0.1981566820276497,0.5201793721973094,0.4366812227074236,0.6682464454976303,0.1121495327102803,0.3872340425531915,0.3103448275862069,0.4449760765550239,0.3652173913043478,0.3891213389121339,0.3896103896103896,0.3949579831932773,0.390625,0.4210526315789473,0.3272727272727272,0.6,0.3461538461538461,0.1862745098039215,0.5444839857651246
DB00091,0.4619883040935672,0.3733333333333333,0.3529411764705882,0.4010416666666667,0.4654088050314465,0.3906976744186046,0.4431137724550898,0.4137931034482758,0.0,0.5267175572519084,0.453551912568306,0.3962264150943396,0.3036649214659686,0.3555555555555555,0.3567839195979899,0.3081761006289308,0.3107344632768362,0.1868131868131868,0.453781512605042,0.4107142857142857,0.2823529411764706,0.4222222222222222,0.41,0.2803738317757009,0.2790697674418604,0.358695652173913,0.3956043956043956,0.4042553191489361,0.2628571428571428,0.3936170212765957,0.3707865168539326,0.3333333333333333,0.4044117647058823,0.3478260869565217,0.4038461538461538,0.3297872340425531,0.2087912087912088,0.3514851485148514,0.59,0.3723404255319149,0.504950495049505,0.4476190476190476,0.25,0.3669724770642202,0.3135135135135135,0.3020833333333333,0.4382022471910112,0.3351955307262569,0.2978723404255319,0.2472527472527472,0.3773584905660377,0.3936170212765957,0.4526315789473684,0.4382022471910112,0.3315508021390374,0.3271889400921659,0.3932584269662921,0.3295454545454545,0.3977272727272727,0.3571428571428571,0.2115384615384615,0.288135593220339,0.2254901960784313,0.4382022471910112,0.5714285714285714,0.3679245283018867,0.296,0.2670454545454545,0.4468085106382978,0.1464968152866242,0.3723404255319149,0.4347826086956521,0.3435114503816794,0.4313725490196078,0.5639097744360902,0.2620689655172414,0.3472222222222222,0.3805970149253731,0.3482142857142857,0.3814432989690721,0.2628205128205128,0.324074074074074,0.3703703703703703,0.4421768707482993,0.4071856287425149,0.2474226804123711,0.3483870967741935,0.3070175438596491,0.4453125,0.3401360544217687,0.272189349112426,0.4068965517241379,0.2797619047619047,0.3277777777777778,0.5929203539823009,0.4583333333333333,0.3404255319148936,0.2147239263803681,0.3297872340425531,0.2730923694779116
DB00093,0.6374269005847953,0.4612068965517241,0.436734693877551,0.5255102040816326,0.777027027027027,0.4622222222222222,0.7371794871794872,0.5167464114832536,0.5267175572519084,0.0,0.5828877005347594,0.4954128440366973,0.3285714285714285,0.425531914893617,0.4925373134328358,0.3149171270718232,0.2718446601941747,0.0952380952380952,0.6111111111111112,0.3925925925925926,0.1300813008130081,0.264,0.2761194029850746,0.1517241379310344,0.217391304347826,0.2301587301587301,0.256,0.2857142857142857,0.2067307692307692,0.2777777777777778,0.1875,0.2440944881889764,0.5347222222222222,0.2671232876712329,0.2753623188405797,0.2704918032786885,0.1290322580645161,0.4093023255813953,0.3034482758620689,0.2519685039370078,0.4108527131782946,0.2638888888888889,0.1570247933884297,0.2785714285714286,0.3317073170731707,0.183206106870229,0.2539682539682539,0.4861878453038674,0.2357723577235772,0.2786069651741293,0.2846715328467153,0.2777777777777778,0.3023255813953488,0.1969696969696969,0.2798165137614679,0.4520547945205479,0.2419354838709677,0.1951219512195122,0.224,0.2734375,0.3035714285714285,0.3163265306122449,0.24,0.2539682539682539,0.7014925373134329,0.2773722627737226,0.5,0.2105263157894736,0.3174603174603174,0.1797752808988764,0.272,0.3,0.4714285714285714,0.5759493670886076,0.676056338028169,0.392156862745098,0.2655367231638418,0.5357142857142857,0.5603448275862069,0.5935828877005348,0.445859872611465,0.2627737226277372,0.4911242603550296,0.4938271604938271,0.5773809523809523,0.1439393939393939,0.4573170731707317,0.5169491525423728,0.7063492063492064,0.4367088607594936,0.2128712871287128,0.4444444444444444,0.4161849710982659,0.4944444444444444,0.4383561643835616,0.2732919254658385,0.4139344262295082,0.2391304347826087,0.2015503875968992,0.4048582995951417
